,speed,accel,hand,
"('cat peach', 'koopa clown', 'monster', 'Wario*')",0.75,0.5,0,N
"('lemmy', 'circuit soecial', 'monster', 'Super Glider*')",1,0.5,0,N
"('lemmy', 'circuit soecial', 'monster', 'Wario*')",1,0.5,0,N
"('lemmy', 'steal driver', 'monster', 'Super Glider*')",1.25,0.5,0,N
"('lemmy', 'steal driver', 'monster', 'Wario*')",1.25,0.5,0,N
"('metal mario', '300sl roadster', 'slim', 'Super Glider*')",-0.75,0.75,0,
"('metal mario', '300sl roadster', 'slim', 'Wario*')",-0.75,0.75,0,
"('mario', 'splat buggy', 'slim', 'Super Glider*')",-0.5,0.75,0,N
"('mario', 'splat buggy', 'slim', 'Wario*')",-0.5,0.75,0,N
"('luigi', '300sl roadster', 'Slick', 'Super Glider*')",-0.5,0.75,0,N
"('luigi', '300sl roadster', 'Slick', 'Wario*')",-0.5,0.75,0,N
"('rosalina', '300sl roadster', 'slim', 'Super Glider*')",-0.5,0.75,0,N
"('rosalina', '300sl roadster', 'slim', 'Wario*')",-0.5,0.75,0,N
"('metal mario', 'pipe frame', 'Metal', 'Super Glider*')",-0.5,0.75,0,N
"('metal mario', 'pipe frame', 'Metal', 'Wario*')",-0.5,0.75,0,N
"('peach', 'circuit soecial', 'slim', 'Clouds*')",-0.25,0.75,0,N
"('peach', 'circuit soecial', 'slim', 'Peach Parasol*')",-0.25,0.75,0,N
"('toonooki mar', 'circuit soecial', 'slim', 'Clouds*')",-0.25,0.75,0,N
"('toonooki mar', 'circuit soecial', 'slim', 'Peach Parasol*')",-0.25,0.75,0,N
"('peach', 'sport bike', 'Slick', 'Clouds*')",-0.25,0.75,0,N
"('peach', 'sport bike', 'Slick', 'Peach Parasol*')",-0.25,0.75,0,N
"('toonooki mar', 'sport bike', 'Slick', 'Clouds*')",-0.25,0.75,0,N
"('toonooki mar', 'sport bike', 'Slick', 'Peach Parasol*')",-0.25,0.75,0,N
"('peach', 'sneeker', 'Slick', 'Clouds*')",-0.25,0.75,0,N
"('peach', 'sneeker', 'Slick', 'Peach Parasol*')",-0.25,0.75,0,N
"('toonooki mar', 'sneeker', 'Slick', 'Clouds*')",-0.25,0.75,0,N
"('toonooki mar', 'sneeker', 'Slick', 'Peach Parasol*')",-0.25,0.75,0,N
"('cat peach', 'splat buggy', 'Metal', 'Super Glider*')",-0.25,0.75,0,N
"('cat peach', 'splat buggy', 'Metal', 'Wario*')",-0.25,0.75,0,N
"('mario', 'mach8', 'slim', 'Super Glider*')",-0.25,0.75,0,N
"('mario', 'mach8', 'slim', 'Wario*')",-0.25,0.75,0,N
"('luigi', '300sl roadster', 'Metal', 'Clouds*')",-0.25,0.75,0,N
"('luigi', '300sl roadster', 'Metal', 'Peach Parasol*')",-0.25,0.75,0,N
"('peach', '300sl roadster', 'Metal', 'Super Glider*')",-0.25,0.75,0,N
"('peach', '300sl roadster', 'Metal', 'Wario*')",-0.25,0.75,0,N
"('toonooki mar', '300sl roadster', 'Metal', 'Super Glider*')",-0.25,0.75,0,N
"('toonooki mar', '300sl roadster', 'Metal', 'Wario*')",-0.25,0.75,0,N
"('mario', 'comet', 'Metal', 'Super Glider*')",-0.25,0.75,0,N
"('mario', 'comet', 'Metal', 'Wario*')",-0.25,0.75,0,N
"('metal mario', 'koopa clown', 'standard', 'Super Glider*')",-0.25,0.75,0,N
"('metal mario', 'koopa clown', 'standard', 'Wario*')",-0.25,0.75,0,N
"('mario', 'W25 silver arrow', 'Metal', 'Super Glider*')",-0.25,0.75,0,N
"('mario', 'W25 silver arrow', 'Metal', 'Wario*')",-0.25,0.75,0,N
"('rosalina', 'pipe frame', 'Metal', 'Super Glider*')",-0.25,0.75,0,N
"('rosalina', 'pipe frame', 'Metal', 'Wario*')",-0.25,0.75,0,N
"('toad', 'circuit soecial', 'Slick', 'Clouds*')",0,0.75,0,N
"('toad', 'circuit soecial', 'Slick', 'Peach Parasol*')",0,0.75,0,N
"('toadette', 'circuit soecial', 'Slick', 'Super Glider*')",0,0.75,0,N
"('toadette', 'circuit soecial', 'Slick', 'Wario*')",0,0.75,0,N
"('cat peach', 'GLA', 'slim', 'Clouds*')",0,0.75,0,N
"('cat peach', 'GLA', 'slim', 'Peach Parasol*')",0,0.75,0,N
"('peach', 'steal driver', 'slim', 'Clouds*')",0,0.75,0,N
"('peach', 'steal driver', 'slim', 'Peach Parasol*')",0,0.75,0,N
"('toonooki mar', 'steal driver', 'slim', 'Clouds*')",0,0.75,0,N
"('toonooki mar', 'steal driver', 'slim', 'Peach Parasol*')",0,0.75,0,N
"('cat peach', 'mach8', 'Metal', 'Super Glider*')",0,0.75,0,N
"('cat peach', 'mach8', 'Metal', 'Wario*')",0,0.75,0,N
"('luigi', 'koopa clown', 'off road', 'Super Glider*')",0,0.75,0,N
"('luigi', 'koopa clown', 'off road', 'Wario*')",0,0.75,0,N
"('rosalina', 'koopa clown', 'standard', 'Super Glider*')",0,0.75,0,N
"('rosalina', 'koopa clown', 'standard', 'Wario*')",0,0.75,0,N
"('toadette', 'circuit soecial', 'Metal', 'Clouds*')",0.25,0.75,0,N
"('toadette', 'circuit soecial', 'Metal', 'Peach Parasol*')",0.25,0.75,0,N
"('toad', 'steal driver', 'Slick', 'Clouds*')",0.25,0.75,0,N
"('toad', 'steal driver', 'Slick', 'Peach Parasol*')",0.25,0.75,0,N
"('toadette', 'steal driver', 'Slick', 'Super Glider*')",0.25,0.75,0,N
"('toadette', 'steal driver', 'Slick', 'Wario*')",0.25,0.75,0,N
"('baby mario', 'GLA', 'Slick', 'Clouds*')",0.5,0.75,0,N
"('baby mario', 'GLA', 'Slick', 'Peach Parasol*')",0.5,0.75,0,N
"('toadette', 'steal driver', 'Metal', 'Clouds*')",0.5,0.75,0,N
"('toadette', 'steal driver', 'Metal', 'Peach Parasol*')",0.5,0.75,0,N
"('baby peach', 'GLA', 'monster', 'Clouds*')",1.25,0.75,0,N
"('baby peach', 'GLA', 'monster', 'Peach Parasol*')",1.25,0.75,0,N
"('metal mario', 'sport bike', 'slim', 'Clouds*')",-0.75,1,0,
"('metal mario', 'sport bike', 'slim', 'Peach Parasol*')",-0.75,1,0,
"('metal mario', 'sneeker', 'slim', 'Clouds*')",-0.75,1,0,
"('metal mario', 'sneeker', 'slim', 'Peach Parasol*')",-0.75,1,0,
"('luigi', 'circuit soecial', 'slim', 'Clouds*')",-0.5,1,0,N
"('luigi', 'circuit soecial', 'slim', 'Peach Parasol*')",-0.5,1,0,N
"('peach', 'circuit soecial', 'slim', 'Super Glider*')",-0.5,1,0,N
"('peach', 'circuit soecial', 'slim', 'Wario*')",-0.5,1,0,N
"('toonooki mar', 'circuit soecial', 'slim', 'Super Glider*')",-0.5,1,0,N
"('toonooki mar', 'circuit soecial', 'slim', 'Wario*')",-0.5,1,0,N
"('luigi', 'sport bike', 'Slick', 'Clouds*')",-0.5,1,0,N
"('luigi', 'sport bike', 'Slick', 'Peach Parasol*')",-0.5,1,0,N
"('peach', 'sport bike', 'Slick', 'Super Glider*')",-0.5,1,0,N
"('peach', 'sport bike', 'Slick', 'Wario*')",-0.5,1,0,N
"('toonooki mar', 'sport bike', 'Slick', 'Super Glider*')",-0.5,1,0,N
"('toonooki mar', 'sport bike', 'Slick', 'Wario*')",-0.5,1,0,N
"('rosalina', 'sport bike', 'slim', 'Clouds*')",-0.5,1,0,N
"('rosalina', 'sport bike', 'slim', 'Peach Parasol*')",-0.5,1,0,N
"('luigi', 'sneeker', 'Slick', 'Clouds*')",-0.5,1,0,N
"('luigi', 'sneeker', 'Slick', 'Peach Parasol*')",-0.5,1,0,N
"('peach', 'sneeker', 'Slick', 'Super Glider*')",-0.5,1,0,N
"('peach', 'sneeker', 'Slick', 'Wario*')",-0.5,1,0,N
"('toonooki mar', 'sneeker', 'Slick', 'Super Glider*')",-0.5,1,0,N
"('toonooki mar', 'sneeker', 'Slick', 'Wario*')",-0.5,1,0,N
"('rosalina', 'sneeker', 'slim', 'Clouds*')",-0.5,1,0,N
"('rosalina', 'sneeker', 'slim', 'Peach Parasol*')",-0.5,1,0,N
"('luigi', '300sl roadster', 'Metal', 'Super Glider*')",-0.5,1,0,N
"('luigi', '300sl roadster', 'Metal', 'Wario*')",-0.5,1,0,N
"('waluigi', 'koopa clown', 'slim', 'Clouds*')",-0.5,1,0,N
"('waluigi', 'koopa clown', 'slim', 'Peach Parasol*')",-0.5,1,0,N
"('toad', 'circuit soecial', 'Slick', 'Super Glider*')",-0.25,1,0,N
"('toad', 'circuit soecial', 'Slick', 'Wario*')",-0.25,1,0,N
"('cat peach', 'GLA', 'slim', 'Super Glider*')",-0.25,1,0,N
"('cat peach', 'GLA', 'slim', 'Wario*')",-0.25,1,0,N
"('peach', 'sport bike', 'Metal', 'Clouds*')",-0.25,1,0,N
"('peach', 'sport bike', 'Metal', 'Peach Parasol*')",-0.25,1,0,N
"('toonooki mar', 'sport bike', 'Metal', 'Clouds*')",-0.25,1,0,N
"('toonooki mar', 'sport bike', 'Metal', 'Peach Parasol*')",-0.25,1,0,N
"('peach', 'sneeker', 'Metal', 'Clouds*')",-0.25,1,0,N
"('peach', 'sneeker', 'Metal', 'Peach Parasol*')",-0.25,1,0,N
"('toonooki mar', 'sneeker', 'Metal', 'Clouds*')",-0.25,1,0,N
"('toonooki mar', 'sneeker', 'Metal', 'Peach Parasol*')",-0.25,1,0,N
"('luigi', 'steal driver', 'slim', 'Clouds*')",-0.25,1,0,N
"('luigi', 'steal driver', 'slim', 'Peach Parasol*')",-0.25,1,0,N
"('peach', 'steal driver', 'slim', 'Super Glider*')",-0.25,1,0,N
"('peach', 'steal driver', 'slim', 'Wario*')",-0.25,1,0,N
"('toonooki mar', 'steal driver', 'slim', 'Super Glider*')",-0.25,1,0,N
"('toonooki mar', 'steal driver', 'slim', 'Wario*')",-0.25,1,0,N
"('toad', 'circuit soecial', 'Metal', 'Clouds*')",0,1,0,N
"('toad', 'circuit soecial', 'Metal', 'Peach Parasol*')",0,1,0,N
"('toadette', 'circuit soecial', 'Metal', 'Super Glider*')",0,1,0,N
"('toadette', 'circuit soecial', 'Metal', 'Wario*')",0,1,0,N
"('toad', 'steal driver', 'Slick', 'Super Glider*')",0,1,0,N
"('toad', 'steal driver', 'Slick', 'Wario*')",0,1,0,N
"('mario', 'koopa clown', 'Slick', 'Clouds*')",0,1,0,N
"('mario', 'koopa clown', 'Slick', 'Peach Parasol*')",0,1,0,N
"('koopa troopa', 'GLA', 'Slick', 'Clouds*')",0.25,1,0,N
"('koopa troopa', 'GLA', 'Slick', 'Peach Parasol*')",0.25,1,0,N
"('baby mario', 'GLA', 'Slick', 'Super Glider*')",0.25,1,0,N
"('baby mario', 'GLA', 'Slick', 'Wario*')",0.25,1,0,N
"('toad', 'steal driver', 'Metal', 'Clouds*')",0.25,1,0,N
"('toad', 'steal driver', 'Metal', 'Peach Parasol*')",0.25,1,0,N
"('toadette', 'steal driver', 'Metal', 'Super Glider*')",0.25,1,0,N
"('toadette', 'steal driver', 'Metal', 'Wario*')",0.25,1,0,N
"('baby mario', 'GLA', 'Metal', 'Clouds*')",0.5,1,0,N
"('baby mario', 'GLA', 'Metal', 'Peach Parasol*')",0.5,1,0,N
"('baby peach', 'GLA', 'monster', 'Super Glider*')",1,1,0,N
"('baby peach', 'GLA', 'monster', 'Wario*')",1,1,0,N
"('metal mario', 'sport bike', 'slim', 'Super Glider*')",-1,1.25,0,
"('metal mario', 'sport bike', 'slim', 'Wario*')",-1,1.25,0,
"('metal mario', 'sneeker', 'slim', 'Super Glider*')",-1,1.25,0,
"('metal mario', 'sneeker', 'slim', 'Wario*')",-1,1.25,0,
"('luigi', 'circuit soecial', 'slim', 'Super Glider*')",-0.75,1.25,0,N
"('luigi', 'circuit soecial', 'slim', 'Wario*')",-0.75,1.25,0,N
"('luigi', 'sport bike', 'Slick', 'Super Glider*')",-0.75,1.25,0,N
"('luigi', 'sport bike', 'Slick', 'Wario*')",-0.75,1.25,0,N
"('rosalina', 'sport bike', 'slim', 'Super Glider*')",-0.75,1.25,0,N
"('rosalina', 'sport bike', 'slim', 'Wario*')",-0.75,1.25,0,N
"('luigi', 'sneeker', 'Slick', 'Super Glider*')",-0.75,1.25,0,N
"('luigi', 'sneeker', 'Slick', 'Wario*')",-0.75,1.25,0,N
"('rosalina', 'sneeker', 'slim', 'Super Glider*')",-0.75,1.25,0,N
"('rosalina', 'sneeker', 'slim', 'Wario*')",-0.75,1.25,0,N
"('waluigi', 'koopa clown', 'slim', 'Super Glider*')",-0.75,1.25,0,N
"('waluigi', 'koopa clown', 'slim', 'Wario*')",-0.75,1.25,0,N
"('luigi', 'sport bike', 'Metal', 'Clouds*')",-0.5,1.25,0,N
"('luigi', 'sport bike', 'Metal', 'Peach Parasol*')",-0.5,1.25,0,N
"('peach', 'sport bike', 'Metal', 'Super Glider*')",-0.5,1.25,0,N
"('peach', 'sport bike', 'Metal', 'Wario*')",-0.5,1.25,0,N
"('toonooki mar', 'sport bike', 'Metal', 'Super Glider*')",-0.5,1.25,0,N
"('toonooki mar', 'sport bike', 'Metal', 'Wario*')",-0.5,1.25,0,N
"('luigi', 'sneeker', 'Metal', 'Clouds*')",-0.5,1.25,0,N
"('luigi', 'sneeker', 'Metal', 'Peach Parasol*')",-0.5,1.25,0,N
"('peach', 'sneeker', 'Metal', 'Super Glider*')",-0.5,1.25,0,N
"('peach', 'sneeker', 'Metal', 'Wario*')",-0.5,1.25,0,N
"('toonooki mar', 'sneeker', 'Metal', 'Super Glider*')",-0.5,1.25,0,N
"('toonooki mar', 'sneeker', 'Metal', 'Wario*')",-0.5,1.25,0,N
"('luigi', 'steal driver', 'slim', 'Super Glider*')",-0.5,1.25,0,N
"('luigi', 'steal driver', 'slim', 'Wario*')",-0.5,1.25,0,N
"('toad', 'circuit soecial', 'Metal', 'Super Glider*')",-0.25,1.25,0,N
"('toad', 'circuit soecial', 'Metal', 'Wario*')",-0.25,1.25,0,N
"('mario', 'koopa clown', 'Slick', 'Super Glider*')",-0.25,1.25,0,N
"('mario', 'koopa clown', 'Slick', 'Wario*')",-0.25,1.25,0,N
"('koopa troopa', 'GLA', 'Slick', 'Super Glider*')",0,1.25,0,N
"('koopa troopa', 'GLA', 'Slick', 'Wario*')",0,1.25,0,N
"('toad', 'steal driver', 'Metal', 'Super Glider*')",0,1.25,0,N
"('toad', 'steal driver', 'Metal', 'Wario*')",0,1.25,0,N
"('mario', 'koopa clown', 'Metal', 'Clouds*')",0,1.25,0,N
"('mario', 'koopa clown', 'Metal', 'Peach Parasol*')",0,1.25,0,N
"('koopa troopa', 'GLA', 'Metal', 'Clouds*')",0.25,1.25,0,N
"('koopa troopa', 'GLA', 'Metal', 'Peach Parasol*')",0.25,1.25,0,N
"('baby mario', 'GLA', 'Metal', 'Super Glider*')",0.25,1.25,0,N
"('baby mario', 'GLA', 'Metal', 'Wario*')",0.25,1.25,0,N
"('luigi', 'sport bike', 'Metal', 'Super Glider*')",-0.75,1.5,0,
"('luigi', 'sport bike', 'Metal', 'Wario*')",-0.75,1.5,0,
"('luigi', 'sneeker', 'Metal', 'Super Glider*')",-0.75,1.5,0,
"('luigi', 'sneeker', 'Metal', 'Wario*')",-0.75,1.5,0,
"('mario', 'koopa clown', 'Metal', 'Super Glider*')",-0.25,1.5,0,N
"('mario', 'koopa clown', 'Metal', 'Wario*')",-0.25,1.5,0,N
"('koopa troopa', 'GLA', 'Metal', 'Super Glider*')",0,1.5,0,N
"('koopa troopa', 'GLA', 'Metal', 'Wario*')",0,1.5,0,N
"('bowser', 'biddybuggy', 'roller', 'Clouds*')",0.5,-1,0.25,
"('bowser', 'biddybuggy', 'roller', 'Peach Parasol*')",0.5,-1,0.25,
"('waluigi', 'landship', 'button', 'Clouds*')",0.25,-0.75,0.25,
"('waluigi', 'landship', 'button', 'Peach Parasol*')",0.25,-0.75,0.25,
"('wario', 'landship', 'roller', 'Clouds*')",0.25,-0.75,0.25,
"('wario', 'landship', 'roller', 'Peach Parasol*')",0.25,-0.75,0.25,
"('bowser', 'pipe frame', 'roller', 'Clouds*')",0.25,-0.75,0.25,
"('bowser', 'pipe frame', 'roller', 'Peach Parasol*')",0.25,-0.75,0.25,
"('wario', 'biddybuggy', 'button', 'Clouds*')",0.25,-0.75,0.25,
"('wario', 'biddybuggy', 'button', 'Peach Parasol*')",0.25,-0.75,0.25,
"('bowser', 'biddybuggy', 'roller', 'Super Glider*')",0.25,-0.75,0.25,
"('bowser', 'biddybuggy', 'roller', 'Wario*')",0.25,-0.75,0.25,
"('waluigi', 'biddybuggy', 'sponge', 'Clouds*')",0.5,-0.75,0.25,N
"('waluigi', 'biddybuggy', 'sponge', 'Peach Parasol*')",0.5,-0.75,0.25,N
"('waluigi', '300sl roadster', 'roller', 'Clouds*')",0,-0.5,0.25,
"('waluigi', '300sl roadster', 'roller', 'Peach Parasol*')",0,-0.5,0.25,
"('waluigi', 'comet', 'button', 'Clouds*')",0,-0.5,0.25,
"('waluigi', 'comet', 'button', 'Peach Parasol*')",0,-0.5,0.25,
"('wario', 'comet', 'roller', 'Clouds*')",0,-0.5,0.25,
"('wario', 'comet', 'roller', 'Peach Parasol*')",0,-0.5,0.25,
"('waluigi', 'W25 silver arrow', 'button', 'Clouds*')",0,-0.5,0.25,
"('waluigi', 'W25 silver arrow', 'button', 'Peach Parasol*')",0,-0.5,0.25,
"('wario', 'W25 silver arrow', 'roller', 'Clouds*')",0,-0.5,0.25,
"('wario', 'W25 silver arrow', 'roller', 'Peach Parasol*')",0,-0.5,0.25,
"('waluigi', 'landship', 'standard', 'Clouds*')",0,-0.5,0.25,
"('waluigi', 'landship', 'standard', 'Peach Parasol*')",0,-0.5,0.25,
"('waluigi', 'landship', 'button', 'Super Glider*')",0,-0.5,0.25,
"('waluigi', 'landship', 'button', 'Wario*')",0,-0.5,0.25,
"('wario', 'landship', 'roller', 'Super Glider*')",0,-0.5,0.25,
"('wario', 'landship', 'roller', 'Wario*')",0,-0.5,0.25,
"('wario', 'pipe frame', 'button', 'Clouds*')",0,-0.5,0.25,
"('wario', 'pipe frame', 'button', 'Peach Parasol*')",0,-0.5,0.25,
"('bowser', 'pipe frame', 'roller', 'Super Glider*')",0,-0.5,0.25,
"('bowser', 'pipe frame', 'roller', 'Wario*')",0,-0.5,0.25,
"('wario', 'biddybuggy', 'standard', 'Clouds*')",0,-0.5,0.25,
"('wario', 'biddybuggy', 'standard', 'Peach Parasol*')",0,-0.5,0.25,
"('wario', 'biddybuggy', 'button', 'Super Glider*')",0,-0.5,0.25,
"('wario', 'biddybuggy', 'button', 'Wario*')",0,-0.5,0.25,
"('waluigi', 'pipe frame', 'sponge', 'Clouds*')",0.25,-0.5,0.25,N
"('waluigi', 'pipe frame', 'sponge', 'Peach Parasol*')",0.25,-0.5,0.25,N
"('metal mario', 'biddybuggy', 'off road', 'Clouds*')",0.25,-0.5,0.25,N
"('metal mario', 'biddybuggy', 'off road', 'Peach Parasol*')",0.25,-0.5,0.25,N
"('waluigi', 'biddybuggy', 'sponge', 'Super Glider*')",0.25,-0.5,0.25,N
"('waluigi', 'biddybuggy', 'sponge', 'Wario*')",0.25,-0.5,0.25,N
"('mario', 'landship', 'off road', 'Clouds*')",0.5,-0.5,0.25,N
"('mario', 'landship', 'off road', 'Peach Parasol*')",0.5,-0.5,0.25,N
"('metal mario', 'landship', 'sponge', 'Clouds*')",0.5,-0.5,0.25,N
"('metal mario', 'landship', 'sponge', 'Peach Parasol*')",0.5,-0.5,0.25,N
"('rosalina', 'biddybuggy', 'off road', 'Clouds*')",0.5,-0.5,0.25,N
"('rosalina', 'biddybuggy', 'off road', 'Peach Parasol*')",0.5,-0.5,0.25,N
"('rosalina', 'landship', 'sponge', 'Clouds*')",0.75,-0.5,0.25,N
"('rosalina', 'landship', 'sponge', 'Peach Parasol*')",0.75,-0.5,0.25,N
"('peach', 'landship', 'monster', 'Clouds*')",1,-0.5,0.25,N
"('peach', 'landship', 'monster', 'Peach Parasol*')",1,-0.5,0.25,N
"('toonooki mar', 'landship', 'monster', 'Clouds*')",1,-0.5,0.25,N
"('toonooki mar', 'landship', 'monster', 'Peach Parasol*')",1,-0.5,0.25,N
"('mario', 'biddybuggy', 'monster', 'Clouds*')",1,-0.5,0.25,N
"('mario', 'biddybuggy', 'monster', 'Peach Parasol*')",1,-0.5,0.25,N
"('waluigi', '300sl roadster', 'roller', 'Super Glider*')",-0.25,-0.25,0.25,
"('waluigi', '300sl roadster', 'roller', 'Wario*')",-0.25,-0.25,0.25,
"('waluigi', 'comet', 'standard', 'Clouds*')",-0.25,-0.25,0.25,
"('waluigi', 'comet', 'standard', 'Peach Parasol*')",-0.25,-0.25,0.25,
"('waluigi', 'comet', 'button', 'Super Glider*')",-0.25,-0.25,0.25,
"('waluigi', 'comet', 'button', 'Wario*')",-0.25,-0.25,0.25,
"('wario', 'comet', 'roller', 'Super Glider*')",-0.25,-0.25,0.25,
"('wario', 'comet', 'roller', 'Wario*')",-0.25,-0.25,0.25,
"('waluigi', 'W25 silver arrow', 'standard', 'Clouds*')",-0.25,-0.25,0.25,
"('waluigi', 'W25 silver arrow', 'standard', 'Peach Parasol*')",-0.25,-0.25,0.25,
"('waluigi', 'W25 silver arrow', 'button', 'Super Glider*')",-0.25,-0.25,0.25,
"('waluigi', 'W25 silver arrow', 'button', 'Wario*')",-0.25,-0.25,0.25,
"('wario', 'W25 silver arrow', 'roller', 'Super Glider*')",-0.25,-0.25,0.25,
"('wario', 'W25 silver arrow', 'roller', 'Wario*')",-0.25,-0.25,0.25,
"('waluigi', 'landship', 'standard', 'Super Glider*')",-0.25,-0.25,0.25,
"('waluigi', 'landship', 'standard', 'Wario*')",-0.25,-0.25,0.25,
"('wario', 'pipe frame', 'standard', 'Clouds*')",-0.25,-0.25,0.25,
"('wario', 'pipe frame', 'standard', 'Peach Parasol*')",-0.25,-0.25,0.25,
"('wario', 'pipe frame', 'button', 'Super Glider*')",-0.25,-0.25,0.25,
"('wario', 'pipe frame', 'button', 'Wario*')",-0.25,-0.25,0.25,
"('wario', 'biddybuggy', 'standard', 'Super Glider*')",-0.25,-0.25,0.25,
"('wario', 'biddybuggy', 'standard', 'Wario*')",-0.25,-0.25,0.25,
"('metal mario', 'splat buggy', 'roller', 'Clouds*')",0,-0.25,0.25,N
"('metal mario', 'splat buggy', 'roller', 'Peach Parasol*')",0,-0.25,0.25,N
"('metal mario', '300sl roadster', 'button', 'Clouds*')",0,-0.25,0.25,N
"('metal mario', '300sl roadster', 'button', 'Peach Parasol*')",0,-0.25,0.25,N
"('metal mario', 'pipe frame', 'off road', 'Clouds*')",0,-0.25,0.25,N
"('metal mario', 'pipe frame', 'off road', 'Peach Parasol*')",0,-0.25,0.25,N
"('waluigi', 'pipe frame', 'sponge', 'Super Glider*')",0,-0.25,0.25,N
"('waluigi', 'pipe frame', 'sponge', 'Wario*')",0,-0.25,0.25,N
"('metal mario', 'biddybuggy', 'off road', 'Super Glider*')",0,-0.25,0.25,N
"('metal mario', 'biddybuggy', 'off road', 'Wario*')",0,-0.25,0.25,N
"('cat peach', 'splat buggy', 'off road', 'Clouds*')",0.25,-0.25,0.25,N
"('cat peach', 'splat buggy', 'off road', 'Peach Parasol*')",0.25,-0.25,0.25,N
"('mario', 'splat buggy', 'button', 'Clouds*')",0.25,-0.25,0.25,N
"('mario', 'splat buggy', 'button', 'Peach Parasol*')",0.25,-0.25,0.25,N
"('rosalina', 'splat buggy', 'roller', 'Clouds*')",0.25,-0.25,0.25,N
"('rosalina', 'splat buggy', 'roller', 'Peach Parasol*')",0.25,-0.25,0.25,N
"('metal mario', 'mach8', 'roller', 'Clouds*')",0.25,-0.25,0.25,N
"('metal mario', 'mach8', 'roller', 'Peach Parasol*')",0.25,-0.25,0.25,N
"('peach', '300sl roadster', 'off road', 'Clouds*')",0.25,-0.25,0.25,N
"('peach', '300sl roadster', 'off road', 'Peach Parasol*')",0.25,-0.25,0.25,N
"('toonooki mar', '300sl roadster', 'off road', 'Clouds*')",0.25,-0.25,0.25,N
"('toonooki mar', '300sl roadster', 'off road', 'Peach Parasol*')",0.25,-0.25,0.25,N
"('rosalina', '300sl roadster', 'button', 'Clouds*')",0.25,-0.25,0.25,N
"('rosalina', '300sl roadster', 'button', 'Peach Parasol*')",0.25,-0.25,0.25,N
"('mario', 'comet', 'off road', 'Clouds*')",0.25,-0.25,0.25,N
"('mario', 'comet', 'off road', 'Peach Parasol*')",0.25,-0.25,0.25,N
"('metal mario', 'comet', 'sponge', 'Clouds*')",0.25,-0.25,0.25,N
"('metal mario', 'comet', 'sponge', 'Peach Parasol*')",0.25,-0.25,0.25,N
"('mario', 'W25 silver arrow', 'off road', 'Clouds*')",0.25,-0.25,0.25,N
"('mario', 'W25 silver arrow', 'off road', 'Peach Parasol*')",0.25,-0.25,0.25,N
"('metal mario', 'W25 silver arrow', 'sponge', 'Clouds*')",0.25,-0.25,0.25,N
"('metal mario', 'W25 silver arrow', 'sponge', 'Peach Parasol*')",0.25,-0.25,0.25,N
"('mario', 'landship', 'off road', 'Super Glider*')",0.25,-0.25,0.25,N
"('mario', 'landship', 'off road', 'Wario*')",0.25,-0.25,0.25,N
"('metal mario', 'landship', 'sponge', 'Super Glider*')",0.25,-0.25,0.25,N
"('metal mario', 'landship', 'sponge', 'Wario*')",0.25,-0.25,0.25,N
"('rosalina', 'pipe frame', 'off road', 'Clouds*')",0.25,-0.25,0.25,N
"('rosalina', 'pipe frame', 'off road', 'Peach Parasol*')",0.25,-0.25,0.25,N
"('rosalina', 'biddybuggy', 'off road', 'Super Glider*')",0.25,-0.25,0.25,N
"('rosalina', 'biddybuggy', 'off road', 'Wario*')",0.25,-0.25,0.25,N
"('peach', 'splat buggy', 'sponge', 'Clouds*')",0.5,-0.25,0.25,N
"('peach', 'splat buggy', 'sponge', 'Peach Parasol*')",0.5,-0.25,0.25,N
"('toonooki mar', 'splat buggy', 'sponge', 'Clouds*')",0.5,-0.25,0.25,N
"('toonooki mar', 'splat buggy', 'sponge', 'Peach Parasol*')",0.5,-0.25,0.25,N
"('cat peach', 'mach8', 'off road', 'Clouds*')",0.5,-0.25,0.25,N
"('cat peach', 'mach8', 'off road', 'Peach Parasol*')",0.5,-0.25,0.25,N
"('mario', 'mach8', 'button', 'Clouds*')",0.5,-0.25,0.25,N
"('mario', 'mach8', 'button', 'Peach Parasol*')",0.5,-0.25,0.25,N
"('rosalina', 'mach8', 'roller', 'Clouds*')",0.5,-0.25,0.25,N
"('rosalina', 'mach8', 'roller', 'Peach Parasol*')",0.5,-0.25,0.25,N
"('mario', '300sl roadster', 'sponge', 'Clouds*')",0.5,-0.25,0.25,N
"('mario', '300sl roadster', 'sponge', 'Peach Parasol*')",0.5,-0.25,0.25,N
"('rosalina', 'comet', 'sponge', 'Clouds*')",0.5,-0.25,0.25,N
"('rosalina', 'comet', 'sponge', 'Peach Parasol*')",0.5,-0.25,0.25,N
"('rosalina', 'W25 silver arrow', 'sponge', 'Clouds*')",0.5,-0.25,0.25,N
"('rosalina', 'W25 silver arrow', 'sponge', 'Peach Parasol*')",0.5,-0.25,0.25,N
"('rosalina', 'landship', 'sponge', 'Super Glider*')",0.5,-0.25,0.25,N
"('rosalina', 'landship', 'sponge', 'Wario*')",0.5,-0.25,0.25,N
"('peach', 'mach8', 'sponge', 'Clouds*')",0.75,-0.25,0.25,N
"('peach', 'mach8', 'sponge', 'Peach Parasol*')",0.75,-0.25,0.25,N
"('toonooki mar', 'mach8', 'sponge', 'Clouds*')",0.75,-0.25,0.25,N
"('toonooki mar', 'mach8', 'sponge', 'Peach Parasol*')",0.75,-0.25,0.25,N
